time,open,high,low,close,7MA,99MA
2018-01-05T02:00:00Z,15104,15275,15085.5,15099,15056.85714,14317.06566
2018-01-05T03:00:00Z,15099,15130,14951.5,15022,15072.92857,14330.71717
2018-01-05T04:00:00Z,15022,15068,14805,14955.5,15071,14347.42929
2018-01-05T05:00:00Z,14955.5,15100,14878,15055.5,15067.78571,14363.87879
2018-01-05T06:00:00Z,15055.5,15076,14948,14992,15040.07143,14379.17677
2018-01-05T07:00:00Z,14992,14998,14851.5,14940,15024,14392.05051
2018-01-05T08:00:00Z,14940,15631,14939.5,15588,15093.14286,14412.77778
2018-01-05T09:00:00Z,15588,16035,15582.5,15813,15195.14286,14432.38889
2018-01-05T10:00:00Z,15813,16207,15810,16026.5,15338.64286,14456.64141
2018-01-05T11:00:00Z,16026.5,16125.5,15837.5,16087.5,15500.35714,14482.77778
2018-01-05T12:00:00Z,16087.5,16146.5,15786.5,15864.5,15615.92857,14505.59596
2018-01-05T13:00:00Z,15864.5,16070,15847.5,16015,15762.07143,14530.19697
2018-01-05T14:00:00Z,16015,16187.5,15863,16046.5,15920.14286,14558.5404
2018-01-05T15:00:00Z,16046.5,16061,15925.5,16061,15987.71429,14587.5404
2018-01-05T16:00:00Z,16061,16380,16049,16261.5,16051.78571,14619.31313
2018-01-05T17:00:00Z,16261.5,16600,16215.5,16361,16099.57143,14651.01515
2018-01-05T18:00:00Z,16361,16533.5,16316,16375,16140.64286,14682.52525
2018-01-05T19:00:00Z,16375,16485,16200,16420,16220,14716.31313
2018-01-05T20:00:00Z,16420,16594,16293,16581,16300.85714,14751.80808
2018-01-05T21:00:00Z,16581,16909,16581,16646,16386.5,14786.81818
2018-01-05T22:00:00Z,16646,17070.5,16646,16912,16508.07143,14822.77778
2018-01-05T23:00:00Z,16912,17088,16800,16891,16598,14857.15657
2018-01-06T00:00:00Z,16891,16918,16611,16891.5,16673.78571,14890.4798
2018-01-06T01:00:00Z,16891.5,17059,16819.5,17048.5,16770,14925.59091
2018-01-06T02:00:00Z,17048.5,17098.5,16510,16573.5,16791.92857,14956.86869
2018-01-06T03:00:00Z,16573.5,16765,16550,16581,16791.92857,14984.42929
2018-01-06T04:00:00Z,16581,16643,16408.5,16542,16777.07143,15012.91919
2018-01-06T05:00:00Z,16542,16670.5,16440.5,16630,16736.78571,15044.00505
2018-01-06T06:00:00Z,16630,16685,16522.5,16573.5,16691.42857,15076.32323
2018-01-06T07:00:00Z,16573.5,16573.5,16367.5,16515,16637.64286,15110.75253
2018-01-06T08:00:00Z,16515,16637.5,16402,16447.5,16551.78571,15143.91414
2018-01-06T09:00:00Z,16447.5,16570,16350,16392.5,16525.92857,15174.52525
2018-01-06T10:00:00Z,16392.5,16700,16370,16699,16542.78571,15207.59596
2018-01-06T11:00:00Z,16699,16750.5,16560,16590,16549.64286,15239.22222
2018-01-06T12:00:00Z,16590,16590,16235,16305,16503.21429,15266.55556
2018-01-06T13:00:00Z,16305,16424.5,16253.5,16324.5,16467.64286,15293.09596
2018-01-06T14:00:00Z,16324.5,16509,16297.5,16474.5,16461.85714,15321.79293
2018-01-06T15:00:00Z,16474.5,16700.5,16431,16607.5,16484.71429,15351.77273
2018-01-06T16:00:00Z,16607.5,16980,16567,16820,16545.78571,15380.18687
2018-01-06T17:00:00Z,16820,16950,16752.5,16900.5,16574.57143,15410.66162
2018-01-06T18:00:00Z,16900.5,17069,16720,16802,16604.85714,15441.49495
2018-01-06T19:00:00Z,16802,16855.5,16666.5,16730,16665.57143,15471.93939
2018-01-06T20:00:00Z,16730,16894,16718,16862.5,16742.42857,15501.56061
2018-01-06T21:00:00Z,16862.5,16894,16760.5,16870.5,16799,15523.79293
2018-01-06T22:00:00Z,16870.5,17422,16860,17172.5,16879.71429,15547.02525
2018-01-06T23:00:00Z,17172.5,17295,17172.5,17210,16935.42857,15570.62121
2018-01-07T00:00:00Z,17210,17213,17063,17080.5,16961.14286,15593.11111
2018-01-07T01:00:00Z,17080.5,17150.5,16939,17060.5,16998.07143,15615.61616
2018-01-07T02:00:00Z,17060.5,17070.5,16834.5,16890.5,17021,15636.86869
2018-01-07T03:00:00Z,16890.5,16940,16700,16813,17013.92857,15656.04545
2018-01-07T04:00:00Z,16813,16850,16607.5,16711.5,16991.21429,15673.99495
2018-01-07T05:00:00Z,16711.5,16879,16670,16700,16923.71429,15690.0404
2018-01-07T06:00:00Z,16700,16737.5,16443,16492,16821.14286,15706.12121
2018-01-07T07:00:00Z,16492,16725,16475,16708.5,16768,15722.14141
2018-01-07T08:00:00Z,16708.5,16916.5,16690,16757.5,16724.71429,15738.50505
2018-01-07T09:00:00Z,16757.5,16810,16585,16653.5,16690.85714,15750.35859
2018-01-07T10:00:00Z,16653.5,16783,16628.5,16739,16680.28571,15764.23232
2018-01-07T11:00:00Z,16739,16802.5,16620,16626.5,16668.14286,15779.10101
2018-01-07T12:00:00Z,16626.5,16695.5,16410,16468,16635,15795.20202
2018-01-07T13:00:00Z,16468,16559,16335,16474,16632.42857,15812.28788
2018-01-07T14:00:00Z,16474,16616,16435,16575,16613.35714,15829.35859
2018-01-07T15:00:00Z,16575,16595,16448.5,16488,16574.85714,15848.22727
2018-01-07T16:00:00Z,16488,16488,16060,16183,16507.64286,15860.67172
2018-01-07T17:00:00Z,16183,16279,15770.5,15928,16391.78571,15871.08586
